categoria,nome_produto,slug_produto,imagem_principal,galeria_01,galeria_02,galeria_03,observacao
Linhas,Linha Chilena,linha-chilena,/assets/products/linha-chilena/principal.jpg,/assets/products/linha-chilena/galeria-01.jpg,/assets/products/linha-chilena/galeria-02.jpg,/assets/products/linha-chilena/galeria-03.jpg,Principal com fallback para /assets/products/placeholder.jpg; galeria exibida somente quando houver arquivo válido.
Linhas,Linha Indonésia,linha-indonesia,/assets/products/linha-indonesia/principal.jpg,/assets/products/linha-indonesia/galeria-01.jpg,/assets/products/linha-indonesia/galeria-02.jpg,/assets/products/linha-indonesia/galeria-03.jpg,Principal com fallback para /assets/products/placeholder.jpg; galeria exibida somente quando houver arquivo válido.
Linhas,Linha Vera Cruz,linha-vera-cruz,/assets/products/linha-vera-cruz/principal.jpg,/assets/products/linha-vera-cruz/galeria-01.jpg,/assets/products/linha-vera-cruz/galeria-02.jpg,/assets/products/linha-vera-cruz/galeria-03.jpg,Principal com fallback para /assets/products/placeholder.jpg; galeria exibida somente quando houver arquivo válido.
Linhas,Linha Ultra,linha-ultra,/assets/products/linha-ultra/principal.jpg,/assets/products/linha-ultra/galeria-01.jpg,/assets/products/linha-ultra/galeria-02.jpg,/assets/products/linha-ultra/galeria-03.jpg,Principal com fallback para /assets/products/placeholder.jpg; galeria exibida somente quando houver arquivo válido.
Linhas,Linha Bold,linha-bold,/assets/products/linha-bold/principal.jpg,/assets/products/linha-bold/galeria-01.jpg,/assets/products/linha-bold/galeria-02.jpg,/assets/products/linha-bold/galeria-03.jpg,Principal com fallback para /assets/products/placeholder.jpg; galeria exibida somente quando houver arquivo válido.
Linhas,Linha Circulo,linha-circulo,/assets/products/linha-circulo/principal.jpg,/assets/products/linha-circulo/galeria-01.jpg,/assets/products/linha-circulo/galeria-02.jpg,/assets/products/linha-circulo/galeria-03.jpg,Principal com fallback para /assets/products/placeholder.jpg; galeria exibida somente quando houver arquivo válido.
Linhas,Linha Pro Combate,linha-pro-combate,/assets/products/linha-pro-combate/principal.jpg,/assets/products/linha-pro-combate/galeria-01.jpg,/assets/products/linha-pro-combate/galeria-02.jpg,/assets/products/linha-pro-combate/galeria-03.jpg,Principal com fallback para /assets/products/placeholder.jpg; galeria exibida somente quando houver arquivo válido.
Pipas,Mucha,mucha,/assets/products/mucha/principal.jpg,/assets/products/mucha/galeria-01.jpg,/assets/products/mucha/galeria-02.jpg,/assets/products/mucha/galeria-03.jpg,Principal com fallback para /assets/products/placeholder.jpg; galeria exibida somente quando houver arquivo válido.
Pipas,Mucha Mucha,mucha-mucha,/assets/products/mucha-mucha/principal.jpg,/assets/products/mucha-mucha/galeria-01.jpg,/assets/products/mucha-mucha/galeria-02.jpg,/assets/products/mucha-mucha/galeria-03.jpg,Principal com fallback para /assets/products/placeholder.jpg; galeria exibida somente quando houver arquivo válido.
Pipas,Charuto,charuto,/assets/products/charuto/principal.jpg,/assets/products/charuto/galeria-01.jpg,/assets/products/charuto/galeria-02.jpg,/assets/products/charuto/galeria-03.jpg,Principal com fallback para /assets/products/placeholder.jpg; galeria exibida somente quando houver arquivo válido.
Pipas,Cachorro Louco,cachorro-louco,/assets/products/cachorro-louco/principal.jpg,/assets/products/cachorro-louco/galeria-01.jpg,/assets/products/cachorro-louco/galeria-02.jpg,/assets/products/cachorro-louco/galeria-03.jpg,Principal com fallback para /assets/products/placeholder.jpg; galeria exibida somente quando houver arquivo válido.
Pipas,Vanda,vanda,/assets/products/vanda/principal.jpg,/assets/products/vanda/galeria-01.jpg,/assets/products/vanda/galeria-02.jpg,/assets/products/vanda/galeria-03.jpg,Principal com fallback para /assets/products/placeholder.jpg; galeria exibida somente quando houver arquivo válido.
Pipas,GT,gt,/assets/products/gt/principal.jpg,/assets/products/gt/galeria-01.jpg,/assets/products/gt/galeria-02.jpg,/assets/products/gt/galeria-03.jpg,Principal com fallback para /assets/products/placeholder.jpg; galeria exibida somente quando houver arquivo válido.
Pipas,Come Rato,come-rato,/assets/products/come-rato/principal.jpg,/assets/products/come-rato/galeria-01.jpg,/assets/products/come-rato/galeria-02.jpg,/assets/products/come-rato/galeria-03.jpg,Principal com fallback para /assets/products/placeholder.jpg; galeria exibida somente quando houver arquivo válido.
